title,genre,console,rating,digital,checked_out,quantity,playable mode,desc
Allumette,"casual, indie",PS4 VR,E,FALSE,FALSE,1,single player,"A story about love, sacrifice and a deep bond between a girl and her mother"
Battlefield 1,FPS,PS4,M,FALSE,FALSE,2,"single player, online multiplayer",FPS set during World War I. Players can make use of World War I weapons.
Battlefield 4,FPS,PS4,M,FALSE,FALSE,1,"single player, online multiplayer","FPS set during a fictional war ""War of 2020;"" depicts the tension between Russia and USA"
Beyond: Two Souls,"interactive drama, action adventure",PS4,M,FALSE,FALSE,1,"single player, offline multiplayer","Live the life of Jodie Holmes, a young woman who possesses supernatural powers through her psychic link to a mysterious invisible entity. As a small child, Jodie Holmes became a government lab rat due to her strange psychic powers caused by her link to an incorporeal psychic entity known as Aiden."
Detroit Become Human,adventure,PS4,M,FALSE,TRUE,1,single player,"What happens when we have human-like AI robots as caretakers, police, a family member?"
Eagle Flight,"simulation, racing",PS4 VR,E_10,FALSE,FALSE,1,"single player, online multiplayer",You get to become an eagle and feel the simulation of flying!
Fallout 4,"RPG, open world, FPS",PS4,M,FALSE,FALSE,1,single player,Set in post-apocalyptic world after a nuclear explosion; the player explores this dystopian world through quests and building towns
Farpoint,FPS,PS4 VR,M,FALSE,FALSE,1,"single player, online multiplayer",a virtual reality space adventure set on a hostile alien planet.
Gary the Gull,adventure,PS4 VR,E_10,FALSE,FALSE,1,single player,"Gary the Gull is an VR Animated Interactive Short Film where you are part of the story! Respond to Gary's questions -- nodding, shaking your head, talking -- and see how your decisions affect how the story plays out."
Grand Theft Auto 5,"action adventure, open world, FPS",PS4,M,TRUE,FALSE,1,"single player, online multiplayer","Running out of options, the crew risks everything in a series of daring and dangerous heists that could set them up for life. "
Heavy Rain,"interactive drama, adventure",PS4,M,FALSE,FALSE,1,single player,"game revolves around a plot and narrative threads that explore a moral proposition. You assume the role of multiple characters with very different backgrounds, motivations, and skills in a world where each player decision affects what will follow."
Horizon Zero Dawn,RPG,PS4,T,FALSE,FALSE,1,single player,"The story is set in the 31st century, in a world where humans have regressed to primitive tribal societies as a result of some unspecified calamity. Their technologically advanced predecessors are vaguely remembered as the ""Old Ones"". Large robotic creatures known merely as ""machines"" now dominate the Earth."
Journey,adventure,PS4,E_10,TRUE,FALSE,1,"single player, online multiplayer",Journey's story is told wordlessly through gameplay and using cutscenes. The player's character begins on a sand dune in a seemingly endless desert.
